avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status
0.312,0.144,0.168,30
0.313,0.130,0.183,24
0.355,0.137,0.218,27
1.055,0.932,0.123,21
0.928,0.822,0.106,19
0.264,0.111,0.153,32
0.204,0.068,0.136,29
0.562,0.428,0.134,24
0.472,0.340,0.132,24
0.369,0.239,0.130,15
0.626,0.475,0.151,26
0.233,0.073,0.161,30
0.829,0.697,0.131,21
1.314,1.172,0.141,32
0.502,0.364,0.139,18
0.270,0.135,0.136,24
1.236,1.139,0.097,20
1.094,0.940,0.155,23
0.758,0.490,0.268,19
1.130,0.951,0.179,32
0.449,0.318,0.131,26
1.122,0.971,0.150,25
0.590,0.453,0.137,24
0.268,0.112,0.156,21
0.740,0.611,0.129,24
0.236,0.028,0.208,24
0.763,0.593,0.170,16
0.262,0.121,0.140,16
0.346,0.230,0.116,21
1.263,1.110,0.153,22
0.466,0.331,0.135,27
1.064,0.960,0.104,19
0.379,0.203,0.177,21
0.830,0.720,0.110,21
1.360,0.866,0.494,93
0.475,0.311,0.164,25
1.103,0.985,0.117,23
0.901,0.749,0.153,25
0.623,0.475,0.148,25
1.159,1.034,0.125,22
0.511,0.376,0.135,21
0.568,0.432,0.136,25
0.932,0.818,0.114,23
0.362,0.234,0.128,18
0.670,0.562,0.108,17
1.299,1.172,0.127,26
0.898,0.780,0.117,14
1.190,1.089,0.101,19
1.327,1.168,0.160,27
0.536,0.355,0.181,28
1.275,1.155,0.120,26
0.897,0.803,0.094,21
0.456,0.329,0.127,25
1.002,0.929,0.073,16
1.081,0.942,0.138,26
1.199,1.047,0.152,31
0.245,0.073,0.172,22
0.814,0.670,0.144,27
1.308,1.187,0.121,20
0.372,0.160,0.212,25
0.505,0.203,0.301,39
0.702,0.561,0.141,26
0.710,0.590,0.120,13
0.514,0.143,0.372,64
0.650,0.501,0.149,22
0.552,0.207,0.345,59
0.819,0.674,0.145,25
0.414,0.307,0.107,17
1.239,1.090,0.149,25
0.327,0.152,0.175,19
0.637,0.479,0.158,23
0.360,0.229,0.130,20
1.251,1.130,0.122,23
0.981,0.846,0.135,29
1.264,1.163,0.101,22
0.400,0.297,0.103,22
0.332,0.200,0.132,17
1.129,1.032,0.096,27
0.517,0.438,0.079,22
0.214,0.113,0.101,13
1.048,0.919,0.130,27
0.301,0.182,0.119,28
0.187,0.069,0.118,20
1.228,1.127,0.101,29
0.786,0.685,0.101,14
0.993,0.848,0.146,24
0.772,0.684,0.088,16
1.096,1.014,0.082,19
1.005,0.896,0.109,21
0.787,0.690,0.096,20
0.530,0.407,0.123,16
0.658,0.560,0.098,25
0.315,0.198,0.117,24
0.497,0.365,0.132,21
0.905,0.786,0.118,24
0.424,0.343,0.081,17
0.889,0.806,0.083,21
0.841,0.765,0.075,20
0.807,0.689,0.118,25
0.420,0.331,0.089,19
