avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status
0.638,0.528,0.110,19
0.283,0.178,0.105,23
1.274,1.163,0.111,23
1.127,1.041,0.086,22
0.914,0.807,0.107,25
0.435,0.344,0.090,26
0.407,0.295,0.112,26
0.800,0.706,0.094,22
0.934,0.758,0.175,25
0.535,0.419,0.116,20
0.723,0.573,0.151,23
1.117,1.009,0.108,26
1.268,1.163,0.105,24
1.376,1.281,0.095,19
0.467,0.365,0.102,19
0.327,0.179,0.148,24
0.250,0.146,0.104,21
0.519,0.435,0.084,23
0.452,0.309,0.143,23
0.606,0.493,0.113,23
0.893,0.782,0.110,24
0.649,0.550,0.099,19
0.289,0.173,0.116,23
0.313,0.175,0.138,27
0.989,0.886,0.103,21
0.384,0.253,0.131,18
0.550,0.428,0.123,26
0.403,0.292,0.110,22
0.250,0.089,0.160,25
1.219,1.127,0.092,25
0.336,0.226,0.110,17
1.136,1.056,0.080,18
0.316,0.200,0.116,19
0.356,0.075,0.281,52
0.875,0.758,0.117,27
0.299,0.174,0.125,26
0.269,0.149,0.119,23
0.595,0.473,0.122,20
1.034,0.939,0.096,20
0.300,0.177,0.123,22
1.015,0.916,0.099,21
0.520,0.450,0.069,21
0.918,0.805,0.114,26
1.261,1.153,0.108,25
1.168,1.058,0.110,27
1.152,1.034,0.118,30
0.217,0.065,0.152,21
0.655,0.541,0.114,19
1.102,1.009,0.093,22
0.278,0.146,0.133,28
0.343,0.225,0.118,23
0.422,0.310,0.111,26
0.579,0.462,0.117,19
1.282,1.164,0.118,24
1.193,1.061,0.132,30
0.255,0.091,0.164,28
0.991,0.890,0.101,23
1.395,1.294,0.101,26
0.279,0.190,0.089,22
1.146,1.039,0.107,20
0.457,0.310,0.147,23
1.137,1.043,0.093,21
0.774,0.677,0.098,20
1.187,1.052,0.135,25
0.939,0.829,0.110,22
0.420,0.243,0.177,27
0.684,0.566,0.118,30
0.858,0.578,0.280,52
0.551,0.415,0.136,24
1.255,1.150,0.105,21
0.334,0.048,0.287,54
0.722,0.487,0.234,43
0.413,0.319,0.094,25
0.909,0.817,0.091,28
0.776,0.671,0.106,26
0.618,0.357,0.261,43
0.529,0.200,0.329,66
1.033,0.935,0.098,25
0.420,0.320,0.100,26
0.539,0.430,0.109,28
1.150,1.048,0.102,18
0.775,0.688,0.087,27
0.618,0.541,0.077,17
0.340,0.136,0.204,29
0.413,0.319,0.094,24
0.217,0.096,0.121,24
0.778,0.689,0.089,20
0.188,0.069,0.118,23
1.395,1.283,0.112,28
0.858,0.774,0.084,18
0.530,0.418,0.111,21
0.968,0.849,0.119,23
0.430,0.307,0.123,29
1.066,0.937,0.129,19
1.003,0.901,0.102,29
0.212,0.091,0.121,18
1.336,1.251,0.085,19
0.176,0.047,0.129,24
0.460,0.340,0.120,25
1.254,1.126,0.128,28
