avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status
0.636,0.514,0.122,28
0.275,0.189,0.085,26
0.643,0.557,0.086,27
0.873,0.755,0.118,18
1.090,1.009,0.081,20
0.536,0.434,0.103,27
1.042,0.942,0.100,24
0.220,0.088,0.132,25
0.307,0.219,0.088,23
0.637,0.491,0.146,20
1.002,0.897,0.105,30
0.266,0.175,0.091,21
1.133,0.751,0.383,83
0.660,0.583,0.077,19
0.141,0.024,0.118,22
0.883,0.790,0.093,25
0.468,0.363,0.105,14
0.747,0.650,0.097,23
1.052,0.947,0.105,23
0.979,0.886,0.093,26
0.208,0.089,0.119,27
0.522,0.432,0.091,16
0.554,0.454,0.100,17
1.007,0.880,0.127,23
0.812,0.708,0.103,29
0.277,0.146,0.131,19
0.905,0.800,0.105,22
0.743,0.583,0.160,21
1.227,1.129,0.098,29
0.894,0.773,0.121,31
0.520,0.444,0.076,18
0.863,0.768,0.095,23
0.623,0.544,0.079,21
1.301,1.189,0.112,24
0.873,0.774,0.099,22
0.263,0.113,0.151,26
0.272,0.178,0.093,18
0.471,0.366,0.105,17
0.353,0.238,0.115,26
0.337,0.199,0.138,25
1.058,0.939,0.119,28
0.531,0.201,0.330,67
0.346,0.225,0.121,31
0.813,0.582,0.232,41
0.347,0.130,0.216,39
0.791,0.692,0.099,21
0.450,0.352,0.098,21
0.538,0.448,0.091,21
0.761,0.664,0.097,23
0.798,0.678,0.119,28
0.749,0.582,0.167,27
1.165,1.053,0.111,21
0.771,0.584,0.187,27
0.605,0.405,0.200,25
1.166,1.071,0.095,25
1.121,1.026,0.095,18
0.439,0.216,0.224,38
0.931,0.807,0.123,31
1.261,1.163,0.098,20
1.131,1.020,0.111,24
1.091,0.842,0.248,37
0.991,0.844,0.146,20
0.353,0.199,0.154,25
0.810,0.673,0.137,24
0.776,0.666,0.109,23
0.633,0.548,0.085,21
0.370,0.256,0.114,21
1.128,1.029,0.099,28
0.247,0.135,0.111,23
0.551,0.306,0.245,47
0.909,0.817,0.091,24
0.231,0.140,0.092,17
0.192,0.047,0.145,25
0.421,0.330,0.091,21
1.053,0.929,0.124,27
0.316,0.135,0.181,23
0.550,0.437,0.113,19
0.508,0.364,0.143,20
0.259,0.150,0.109,25
1.038,0.928,0.110,32
1.264,1.158,0.106,20
1.379,1.249,0.130,25
1.162,1.040,0.122,22
0.363,0.130,0.233,40
1.166,1.072,0.093,24
0.378,0.197,0.181,30
0.928,0.807,0.121,28
0.689,0.582,0.106,24
0.882,0.799,0.083,20
0.192,0.069,0.123,19
1.269,1.165,0.104,26
1.023,0.908,0.115,25
1.102,0.951,0.151,28
0.511,0.316,0.195,42
0.763,0.651,0.112,23
0.883,0.778,0.105,24
0.537,0.413,0.124,31
0.778,0.680,0.098,20
0.867,0.767,0.099,23
1.072,0.937,0.134,30
