T, time, time_on_pso, time_on_solver, status
1.462,0.121,0.070,0.051,0
4.213,0.945,0.071,0.874,-5
4.284,0.855,0.067,0.788,-5
2.395,0.117,0.067,0.050,0
4.249,1.439,0.067,1.372,-5
3.174,0.734,0.067,0.667,-5
3.775,0.921,0.069,0.852,-5
3.186,1.165,0.069,1.096,-5
7.347,0.196,0.067,0.129,-5
3.244,0.934,0.070,0.864,-5
3.283,0.121,0.067,0.054,0
3.473,1.133,0.067,1.066,-5
3.874,1.307,0.067,1.240,-5
4.068,0.749,0.071,0.678,-5
3.542,0.108,0.068,0.040,0
3.351,0.110,0.067,0.043,-5
3.363,0.730,0.067,0.663,-5
4.020,0.136,0.066,0.070,-5
3.716,0.127,0.066,0.061,-5
3.504,0.296,0.067,0.229,0
3.401,0.119,0.067,0.052,0
3.905,0.880,0.066,0.814,-5
3.239,0.893,0.072,0.821,-5
4.078,1.217,0.071,1.146,-5
3.259,0.567,0.074,0.493,-5
3.583,0.800,0.067,0.733,-5
3.695,1.105,0.067,1.038,-5
3.905,0.120,0.068,0.052,0
3.684,0.995,0.074,0.921,-5
2.168,0.319,0.068,0.251,0
2.868,0.758,0.071,0.687,-5
3.392,0.922,0.068,0.854,-5
3.803,1.124,0.068,1.056,-5
3.246,0.171,0.069,0.102,0
3.095,0.297,0.076,0.221,0
3.597,1.079,0.070,1.009,-5
3.733,0.800,0.073,0.727,-5
3.752,0.347,0.072,0.275,-5
4.132,1.048,0.070,0.978,-5
3.465,0.242,0.068,0.174,-5
2.684,0.855,0.067,0.788,-5
3.614,0.892,0.067,0.825,-5
3.498,0.845,0.069,0.776,-5
3.371,1.000,0.067,0.933,-5
3.103,0.898,0.068,0.830,-5
7.338,1.268,0.066,1.202,-5
1.800,0.267,0.073,0.194,-5
4.220,1.182,0.071,1.111,-5
2.825,0.921,0.068,0.853,-5
3.245,0.986,0.067,0.919,-5
3.452,0.212,0.070,0.142,0
4.012,0.145,0.074,0.071,0
2.584,0.123,0.071,0.052,0
3.303,1.170,0.067,1.103,-5
6.082,0.477,0.066,0.411,-5
3.670,0.113,0.067,0.046,0
3.003,0.117,0.066,0.051,0
4.071,0.812,0.066,0.746,-5
3.644,0.110,0.067,0.043,0
3.477,0.458,0.066,0.392,0
3.572,0.962,0.067,0.895,-5
3.363,0.108,0.066,0.042,0
2.563,0.893,0.069,0.824,-5
3.407,0.974,0.067,0.907,-5
3.356,0.125,0.068,0.057,0
3.801,0.126,0.070,0.056,-5
3.020,0.118,0.067,0.051,0
3.004,0.135,0.067,0.068,-5
3.883,0.817,0.067,0.750,-5
4.050,0.387,0.067,0.320,-5
3.343,0.109,0.068,0.041,-5
3.211,0.282,0.069,0.213,0
3.284,0.900,0.067,0.833,-5
4.165,0.999,0.066,0.933,-5
3.301,0.920,0.067,0.853,-5
4.135,1.045,0.067,0.978,-5
3.255,0.178,0.067,0.111,-5
4.094,0.855,0.066,0.789,-5
3.679,0.996,0.069,0.927,-5
3.541,1.066,0.069,0.997,-5
7.346,0.152,0.068,0.084,-5
3.028,0.126,0.067,0.059,0
3.318,0.114,0.067,0.047,-5
3.862,0.839,0.069,0.770,-5
2.972,0.644,0.066,0.578,-5
3.475,1.119,0.066,1.053,-5
3.142,0.114,0.067,0.047,-5
4.438,1.119,0.066,1.053,-5
1.520,0.111,0.067,0.044,0
3.282,0.123,0.068,0.055,0
3.218,0.718,0.067,0.651,-5
2.426,0.094,0.066,0.028,0
3.238,0.528,0.067,0.461,0
2.730,0.950,0.067,0.883,-5
3.459,0.114,0.067,0.047,0
3.550,0.916,0.067,0.849,-5
3.986,0.806,0.067,0.739,-5
3.540,1.108,0.067,1.041,-5
4.412,0.408,0.072,0.336,-5
2.638,0.126,0.068,0.058,0
3.620,0.113,0.067,0.046,0
3.252,0.245,0.070,0.175,-5
3.903,1.041,0.069,0.972,-5
6.785,0.983,0.070,0.913,-5
3.549,0.353,0.069,0.284,-5
3.502,1.277,0.068,1.209,-5
3.331,0.119,0.069,0.050,0
3.741,0.120,0.068,0.052,-5
3.859,0.121,0.068,0.053,-5
3.425,0.193,0.068,0.125,0
7.473,1.028,0.070,0.958,-5
3.195,0.912,0.070,0.842,-5
4.548,0.237,0.068,0.169,-5
3.395,1.113,0.069,1.044,-5
3.379,1.102,0.069,1.033,-5
4.017,0.935,0.072,0.863,-5
3.850,1.280,0.072,1.208,-5
3.315,2.154,0.069,2.085,-5
3.647,1.032,0.088,0.944,-5
3.324,0.983,0.073,0.910,-5
3.650,1.560,0.071,1.489,-5
2.452,0.483,0.081,0.402,0
3.682,1.689,0.082,1.607,-5
3.566,1.212,0.074,1.138,-5
3.265,0.171,0.078,0.093,0
3.611,1.054,0.079,0.975,-5
3.161,0.853,0.080,0.773,0
7.095,1.618,0.074,1.544,-5
1.947,0.209,0.079,0.130,0
3.425,1.053,0.076,0.977,-5
3.698,0.122,0.072,0.050,0
3.783,0.795,0.073,0.722,-5
3.231,0.192,0.075,0.117,0
4.217,1.090,0.071,1.019,-5
7.412,0.993,0.070,0.923,-5
7.239,0.150,0.069,0.081,-5
2.035,0.113,0.069,0.044,0
2.979,1.093,0.071,1.022,-5
2.656,1.204,0.070,1.134,-5
2.454,0.109,0.070,0.039,0
3.195,0.099,0.070,0.029,0
3.395,1.459,0.070,1.389,-5
4.373,1.386,0.076,1.310,-5
3.404,0.148,0.071,0.077,0
3.449,0.778,0.070,0.708,0
2.889,0.135,0.077,0.058,0
2.943,0.890,0.074,0.816,-5
3.091,0.112,0.070,0.042,0
2.768,0.100,0.070,0.030,0
4.001,1.086,0.072,1.014,-5
2.669,0.107,0.070,0.037,0
4.090,1.286,0.070,1.216,-5
3.365,0.124,0.071,0.053,0
3.020,1.456,0.070,1.386,-5
3.273,0.159,0.075,0.084,-5
3.369,1.074,0.076,0.998,-5
3.906,1.471,0.069,1.402,-5
3.697,0.886,0.071,0.815,-5
3.693,0.174,0.073,0.101,-5
3.416,0.119,0.071,0.048,0
4.494,1.195,0.070,1.125,-5
5.866,1.611,0.088,1.523,-5
3.810,1.212,0.070,1.142,-5
2.786,0.118,0.073,0.045,0
3.108,1.115,0.072,1.043,-5
3.558,0.133,0.071,0.062,0
3.800,0.961,0.070,0.891,-5
3.928,1.051,0.071,0.980,-5
3.571,0.920,0.071,0.849,-5
3.320,1.190,0.072,1.118,-5
3.767,0.120,0.070,0.050,0
4.271,0.865,0.070,0.795,-5
3.869,1.027,0.071,0.956,-5
3.134,0.117,0.070,0.047,0
3.071,0.247,0.070,0.177,-5
3.128,0.112,0.071,0.041,-5
3.187,0.105,0.070,0.035,0
3.260,0.286,0.071,0.215,0
3.392,0.990,0.070,0.920,-5
4.119,1.092,0.073,1.019,-5
4.055,0.779,0.070,0.709,-5
4.154,1.270,0.069,1.201,-5
7.144,1.026,0.070,0.956,-5
3.522,1.113,0.073,1.040,-5
3.520,0.998,0.072,0.926,-5
3.756,0.335,0.071,0.264,-5
3.079,0.196,0.071,0.125,-5
4.110,0.902,0.072,0.830,-5
4.062,0.692,0.068,0.624,-5
3.883,1.448,0.069,1.379,-5
3.447,0.116,0.069,0.047,-5
3.342,0.989,0.070,0.919,-5
2.797,0.113,0.069,0.044,0
3.895,1.040,0.068,0.972,-5
3.319,0.105,0.068,0.037,0
3.339,0.129,0.069,0.060,0
3.260,1.049,0.069,0.980,-5
3.136,0.793,0.068,0.725,-5
2.122,0.182,0.068,0.114,0
3.295,1.003,0.072,0.931,-5
3.284,0.983,0.072,0.911,-5
3.338,0.135,0.069,0.066,-5
4.276,0.917,0.070,0.847,-5
3.663,0.781,0.069,0.712,-5
4.414,0.913,0.070,0.843,-5
7.339,0.180,0.068,0.112,-5
3.959,1.100,0.073,1.027,-5
6.119,0.619,0.071,0.548,-5
3.392,0.916,0.070,0.846,-5
3.641,1.253,0.070,1.183,-5
3.308,0.758,0.070,0.688,-5
3.940,1.144,0.076,1.068,-5
3.146,0.111,0.070,0.041,0
3.863,0.129,0.070,0.059,0
4.059,1.316,0.070,1.246,-5
4.048,0.921,0.074,0.847,-5
3.355,0.106,0.068,0.038,0
3.227,0.111,0.068,0.043,0
2.891,0.165,0.068,0.097,0
2.888,0.111,0.069,0.042,0
3.972,0.904,0.070,0.834,-5
2.929,0.892,0.068,0.824,-5
3.728,0.747,0.069,0.678,-5
3.853,0.269,0.071,0.198,0
3.222,0.136,0.072,0.064,0
3.270,0.134,0.074,0.060,-5
2.317,0.125,0.072,0.053,0
4.798,0.997,0.070,0.927,-5
3.430,0.113,0.068,0.045,0
3.449,0.747,0.068,0.679,-5
3.044,0.298,0.068,0.230,-5
4.661,1.132,0.074,1.058,-5
3.459,0.145,0.072,0.073,0
3.089,0.143,0.076,0.067,-5
3.108,1.064,0.077,0.987,-5
3.333,0.996,0.069,0.927,-5
4.026,0.873,0.068,0.805,-5
4.385,0.180,0.069,0.111,-5
2.952,1.031,0.069,0.962,0
3.612,0.993,0.070,0.923,-5
3.716,0.771,0.070,0.701,-5
3.398,0.122,0.070,0.052,0
7.448,1.173,0.069,1.104,-5
2.800,0.199,0.080,0.119,-5
2.474,0.103,0.069,0.034,0
7.197,0.559,0.067,0.492,-5
2.754,0.374,0.074,0.300,0
3.351,0.502,0.068,0.434,-5
3.581,0.111,0.069,0.042,0
3.568,0.111,0.068,0.043,0
3.404,0.113,0.068,0.045,0
2.533,0.421,0.072,0.349,0
