T, time, time_on_pso, time_on_solver, status
1.462,0.124,0.080,0.044,0
4.326,1.598,0.076,1.522,-5
4.285,0.812,0.077,0.735,-5
2.395,0.121,0.077,0.044,0
4.249,1.102,0.075,1.027,-5
3.174,0.151,0.076,0.075,-5
3.775,1.066,0.077,0.989,-5
3.186,0.956,0.075,0.881,-5
3.195,0.366,0.078,0.288,-5
3.244,1.134,0.089,1.045,-5
3.283,0.170,0.082,0.088,0
3.473,0.115,0.080,0.035,0
3.921,0.910,0.078,0.832,-5
4.158,1.512,0.076,1.436,-5
3.542,0.195,0.087,0.108,0
3.350,1.636,0.089,1.547,-5
3.363,0.131,0.081,0.050,-5
4.073,1.311,0.076,1.235,-5
3.716,0.177,0.086,0.091,-5
3.505,1.054,0.085,0.969,-5
3.401,0.984,0.075,0.909,-5
3.905,0.950,0.076,0.874,-5
3.239,1.372,0.081,1.291,-5
4.078,0.228,0.086,0.142,0
3.259,0.541,0.080,0.461,-5
3.585,1.164,0.075,1.089,-5
3.695,0.488,0.079,0.409,-5
3.905,0.117,0.076,0.041,-5
3.684,1.121,0.075,1.046,-5
2.168,0.437,0.093,0.344,-5
2.868,0.467,0.078,0.389,-5
3.392,1.322,0.081,1.241,-5
4.495,1.051,0.077,0.974,-5
3.246,0.121,0.077,0.044,0
3.095,0.129,0.075,0.054,0
3.597,0.429,0.075,0.354,-5
3.733,1.005,0.076,0.929,-5
3.751,1.105,0.081,1.024,-5
4.132,0.979,0.077,0.902,-5
3.465,0.257,0.081,0.176,-5
2.684,0.913,0.077,0.836,-5
3.614,1.072,0.077,0.995,-5
3.521,0.926,0.077,0.849,-5
3.370,1.032,0.077,0.955,-5
3.103,0.983,0.076,0.907,-5
3.923,1.021,0.078,0.943,-5
1.800,0.402,0.077,0.325,-5
4.220,1.116,0.079,1.037,-5
2.825,0.309,0.079,0.230,0
3.245,0.195,0.079,0.116,0
3.452,1.297,0.084,1.213,-5
4.226,0.476,0.076,0.400,-5
2.584,0.226,0.084,0.142,0
3.303,1.244,0.076,1.168,0
3.386,0.199,0.076,0.123,-5
3.670,0.202,0.076,0.126,-5
3.003,0.999,0.084,0.915,-5
4.466,0.146,0.081,0.065,-5
3.644,1.012,0.076,0.936,0
3.477,1.318,0.076,1.242,-5
3.571,1.007,0.077,0.930,-5
3.363,0.123,0.079,0.044,0
2.563,0.261,0.077,0.184,0
3.407,0.174,0.075,0.099,0
3.356,0.130,0.077,0.053,0
3.794,0.493,0.075,0.418,-5
3.020,0.121,0.078,0.043,0
3.004,0.448,0.075,0.373,-5
3.761,0.123,0.081,0.042,0
4.048,0.454,0.080,0.374,-5
3.343,0.633,0.080,0.553,-5
3.211,0.861,0.075,0.786,-5
3.284,0.953,0.075,0.878,-5
4.165,0.953,0.077,0.876,-5
3.302,0.924,0.076,0.848,-5
4.145,0.145,0.076,0.069,0
3.255,0.129,0.075,0.054,-5
4.098,0.769,0.076,0.693,-5
3.673,0.898,0.075,0.823,-5
3.540,0.142,0.076,0.066,-5
3.481,0.121,0.076,0.045,-5
3.028,0.141,0.079,0.062,0
3.318,0.115,0.078,0.037,-5
3.862,1.064,0.076,0.988,-5
2.972,0.655,0.075,0.580,-5
3.440,0.871,0.076,0.795,-5
3.143,0.767,0.078,0.689,-5
4.438,1.774,0.089,1.685,-5
1.520,0.123,0.079,0.044,0
3.282,0.124,0.076,0.048,0
3.219,0.129,0.076,0.053,-5
2.426,0.112,0.081,0.031,0
