T, time, status
3.783,0.613,-5
3.231,0.102,0
4.217,0.870,-5
3.615,0.651,-5
3.040,0.939,-5
2.035,0.076,0
2.980,1.263,-5
2.656,0.227,0
2.454,0.069,0
3.540,0.086,-5
3.338,0.741,-5
4.435,0.995,-5
3.404,0.071,0
3.449,0.590,-5
2.889,0.065,0
2.943,0.790,-5
2.997,0.062,0
2.768,0.073,0
4.067,0.925,-5
2.669,0.143,0
4.090,0.832,-5
3.344,0.863,-5
3.023,0.111,0
3.273,0.070,-5
3.369,0.134,-5
3.906,1.093,-5
3.697,1.024,-5
3.693,0.108,-5
3.416,0.107,0
4.503,0.927,-5
5.446,0.842,-5
3.721,0.844,-5
2.787,0.362,0
3.111,0.275,0
3.558,1.010,-5
3.499,0.089,0
3.896,0.761,-5
3.571,1.429,-5
3.320,0.093,0
4.439,1.311,-5
4.324,0.651,-5
3.868,1.001,-5
3.134,0.078,0
3.071,0.159,0
3.131,0.154,0
3.187,0.131,0
3.260,0.168,0
3.390,0.752,-5
4.119,1.064,-5
4.055,0.950,-5
4.097,0.723,-5
2.928,0.182,0
3.522,1.421,-5
3.520,1.397,-5
3.756,0.098,-5
3.079,0.378,-5
4.282,1.054,-5
4.066,0.124,0
3.843,1.091,-5
3.447,0.072,0
3.342,0.875,-5
2.797,0.934,-5
3.840,0.088,0
3.319,0.078,0
3.339,0.067,0
3.260,0.181,0
3.136,0.764,-5
2.122,0.162,0
3.295,0.097,0
3.284,1.350,-5
3.340,0.174,-5
4.249,0.997,-5
3.663,1.197,-5
4.413,0.994,-5
5.462,0.521,-5
3.959,1.068,-5
2.839,0.092,0
3.392,0.133,0
3.641,0.982,-5
3.308,0.118,0
3.940,0.710,-5
3.146,0.111,0
3.863,0.066,0
4.051,0.122,-5
4.048,1.399,-5
3.355,0.486,0
3.227,0.257,-5
2.891,0.414,-5
2.888,0.106,0
3.973,0.949,-5
2.929,0.999,-5
3.728,0.868,-5
3.852,0.985,-5
3.222,0.795,-5
3.270,0.074,-5
2.317,0.067,0
4.902,0.754,-5
3.431,0.190,0
3.450,0.101,0
3.044,0.338,-5
4.352,0.822,-5
3.459,0.098,0
3.089,0.098,0
3.108,0.078,0
3.335,0.097,0
4.031,0.134,0
4.384,1.277,-5
2.952,0.241,0
3.612,0.345,0
3.716,0.636,-5
3.398,0.140,0
3.667,0.830,-5
